At1g01010	NAC domain containing protein 1
At1g01020	Arv1-like protein
At1g01030	AP2/B3-like transcriptional factor family protein
At1g01040	dicer-like 1
At1g01046	MIR838a; miRNA
At1g01050	pyrophosphorylase 1
At1g01060	Homeodomain-like superfamily protein
At1g01070	nodulin MtN21 /EamA-like transporter family protein
At1g01073	unknown protein
At1g01080	RNA-binding (RRM/RBD/RNP motifs) family protein
At1g01090	pyruvate dehydrogenase E1 alpha
At1g01100	60S acidic ribosomal protein family
At1g01110	IQ-domain 18
At1g01115	unknown protein
At1g01120	3-ketoacyl-CoA synthase 1
At1g01130	unknown protein
At1g01140	CBL-interacting protein kinase 9
At1g01150	Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain
At1g01160	GRF1-interacting factor 2
At1g01170	Protein of unknown function (DUF1138)
At1g01180	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
At1g01183	MIR165/MIR165A; miRNA
At1g01190	cytochrome P450, family 78, subfamily A, polypeptide 8
At1g01200	RAB GTPase homolog A3
At1g01210	DNA-directed RNA polymerase, subunit M, archaeal
At1g01220	L-fucokinase/GDP-L-fucose pyrophosphorylase
At1g01225	NC domain-containing protein-related
At1g01230	ORMDL family protein
At1g01240	unknown protein
At1g01250	Integrase-type DNA-binding superfamily protein
At1g01260	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
At1g01270	pre-tRNA
At1g01280	cytochrome P450, family 703, subfamily A, polypeptide 2
At1g01290	cofactor of nitrate reductase and xanthine dehydrogenase 3
At1g01300	Eukaryotic aspartyl protease family protein
At1g01305	unknown protein
At1g01310	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein
At1g01320	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g01340	cyclic nucleotide gated channel 10
At1g01350	Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
At1g01355	Putative endonuclease or glycosyl hydrolase
At1g01360	regulatory component of ABA receptor 1
At1g01370	Histone superfamily protein
At1g01380	Homeodomain-like superfamily protein
At1g01390	UDP-Glycosyltransferase superfamily protein
At1g01400	unknown protein
At1g01410	pumilio 22
At1g01420	UDP-glucosyl transferase 72B3
At1g01430	TRICHOME BIREFRINGENCE-LIKE 25
At1g01440	Protein of unknown function (DUF3133)
At1g01448	other RNA
At1g01450	Protein kinase superfamily protein
At1g01453	unknown protein
At1g01460	Phosphatidylinositol-4-phosphate 5-kinase, core
At1g01470	Late embryogenesis abundant protein
At1g01471	unknown protein
At1g01480	1-amino-cyclopropane-1-carboxylate synthase 2
At1g01490	Heavy metal transport/detoxification superfamily protein 
At1g01500	Erythronate-4-phosphate dehydrogenase family protein
At1g01510	NAD(P)-binding Rossmann-fold superfamily protein
At1g01520	Homeodomain-like superfamily protein
At1g01530	AGAMOUS-like 28
At1g01540	Protein kinase superfamily protein
At1g01550	Protein of unknown function (DUF793)
At1g01560	MAP kinase 11
At1g01570	Protein of unknown function (DUF604)
At1g01580	ferric reduction oxidase 2
At1g01590	ferric reduction oxidase 1
At1g01600	cytochrome P450, family 86, subfamily A, polypeptide 4
At1g01610	glycerol-3-phosphate acyltransferase 4
At1g01620	plasma membrane intrinsic protein 1C
At1g01630	Sec14p-like phosphatidylinositol transfer family protein
At1g01640	BTB/POZ domain-containing protein
At1g01650	SIGNAL PEPTIDE PEPTIDASE-LIKE 4
At1g01660	RING/U-box superfamily protein
At1g01670	RING/U-box superfamily protein
At1g01680	plant U-box 54
At1g01690	putative recombination initiation defects 3
At1g01695	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related
At1g01700	RHO guanyl-nucleotide exchange factor 2
At1g01710	Acyl-CoA thioesterase family protein
At1g01720	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
At1g01725	unknown protein
At1g01730	unknown protein
At1g01740	Protein kinase protein with tetratricopeptide repeat domain
At1g01750	actin depolymerizing factor 11
At1g01760	adenosine deaminases;RNA binding;RNA binding;adenosine deaminases
At1g01770	unknown protein
At1g01780	GATA type zinc finger transcription factor family protein
